,objectid,cod_topo,n_policia,cp_4,cp_3,telf,url,mail,j_i,t_inst,agr,est,estat,carto_1000,cod_freg,planta,n_ordem,cod_sgr,cod_gis,foto,fax,data_reg,user_reg,n_eb1,n_prim,prop,cantina,descricao,fraccao,name,cod_giase,x,y
49,50,RESCO1, ,0,0,226186888, , ,S,JI,Francisco Torrinha,Activo,Público,E2,09,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00002,1702,09170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsvbyg890pn&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022814&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Nevogilde,1312662,-8.679541241870911,41.15926930717176
50,51,RRBAI0, ,0,0,226188872, , ,S,JI,Francisco Torrinha,Activo,Público,C3,05,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00002,1702,05170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrvt7g89qzg&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022433&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Foz do Douro,1312728,-8.670359645986371,41.15234436158225
51,52,RFCAS1,90,4250,206,225320500, , ,S,JI,Viso,Activo,Público,I6,11,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00009,1702,11170200009,www.bing.com/maps/default.aspx?v=2&FORM=LMLTCP&cp=qvwg3vg8cq37&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23018579&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Ferreira de Castro,0,-8.64414713229106,41.17639661389532
52,53,RPCDM0,11,4200,451,225502971,www.eb1-porto-n16.rcts.pt,eb1augustolessa@gmail.com,N,EB1,Eugénio de Andrade,Activo,Público,G11,10,PLANTA\AUGUSTO_LESSA_PLANTA.pdf,00001,1702,10170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvjqzg8h0m0&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23032022&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,16,35,Municipal,0, ,,Augusto Lessa,1312153,-8.599986741573378,41.17021616023818
53,54,RARZI0, ,4250,66,225025024,www.eb1-porto-n57.rcts.pt/,calm1974@iol.pt,S,EB1/JI,Irene Lisboa,Activo,Público,G9,10,PLANTA\BOM_PASTOR_PLANTA.pdf,00004,1702,10170200004,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvv8bwg8fwc2&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031445&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,57,151,Municipal,0,Bairro do Bom Pastor,,Bom Pastor,1312903,-8.615093821096922,41.1685197940122
54,55,RRSOU0, ,4250,405,225096149,www.eb1-porto-n30.rcts.pt/,info@eb1-porto-n30.rcts.pt,S,EB1/JI,Irene Lisboa,Activo,Público,F9,10,PLANTA\RIBEIRO_SOUSA_PLANTA.pdf,00005,1702,10170200005,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvtwwmg8fyj8&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031562&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,30,79,Municipal,0, ,,Ribeiro de Sousa,1312706,-8.614033946120484,41.165806980933496
55,56,RPJPM0,31,4250,256,228317761,www.eb1-porto-n31.rcts.pt/,info@eb1-porto-n31.rcts.pt,S,EB1/JI,Irene Lisboa,Activo,Público,F9,04,PLANTA\CONSTITUIÇAO_PLANTA.pdf,00001,1702,04170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvtkbyg8fr49&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031678&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,31,80,Municipal,0, ,,Constituição,1312695,-8.616669360006084,41.16359701794343
56,57,RDAPA0, ,4200,0,225511936,www.eb1-porto-n28.rcts.pt/,info@eb1-porto-n28.rcts.pt,S,EB1/JI,Eugénio de Andrade,Activo,Público,F10,10,PLANTA\COVELO_PLANTA.pdf,00003,1702,10170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvttp1g8g979&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031690&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,28,73,Municipal,0, ,,Covelo,1312325,-8.609310576402773,41.16552408922824
57,58,RCCAB0,551,4200,223,225090497,www.eb1-porto-n17.rcts.pt,ecostacabral@gmail.com,N,EB1,Eugénio de Andrade,Activo,Público,F11,10,PLANTA\COSTA_CABRAL_PLANTA.pdf,00002,1702,10170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvtypgg8h10c&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23032140&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,17,37,Municipal,0, ,,Costa Cabral,1312422,-8.599759397389438,41.16641741280756
58,59,RSPIN1, ,4250,481,228320107,www.eb1-porto-n41.rcts.pt/,info@eb1-porto-n41.rcts.pt,S,EB1/JI,Maria Lamas,Activo,Público,G8,10,PLANTA\CARAMILA_PLANTA.pdf,00006,1702,10170200006,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvv7z3g8f8mq&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031439&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,41,105,Municipal,0,Bairro do Carvalhido,,Caramila,1312757,-8.622844915155465,41.16859774973018
59,60,RCGUI0,218,4250,108,228313595,www.eb1-porto-n29.rcts.pt/,castelos@agrup-mlamas.pt,S,EB1/JI,Maria Lamas,Activo,Público,G7,11,PLANTA\CASTELOS_PLANTA.pdf,00001,1702,11170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvdw0g8dtjm&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031022&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,29,75,Municipal,0, ,,Castelos,1312092,-8.629194062264938,41.169532283280645
60,61,RCHOU0, ,4100,160,226102458, , ,S,EB1/JI,Viso,Activo,Público,H4,11,PLANTA\CORREIOS_PLANTA.pdf,00003,1702,11170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvyxjg8bmm0&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23021389&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,48,119,Municipal,0,Bairro de Pereiró,,Correios,1312383,-8.658530349174555,41.1730964031668
61,62,TCAMP0,144,4000,153,225097623, , ,N,EB1,Augusto Gil,Activo,Público,E10,12,PLANTA\JOSE_GOMES_FERREIRA_PLANTA.pdf,00001,1702,12170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsxf5g8gh4x&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031785&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,225097623,1245628800000,josepaulo,24,61,Municipal,0, ,,José Gomes Ferreira,1312308,-8.606827361648346,41.15958890877244
62,63,RTANG0,1391,4150,723,226102125,www.eb23-aldoar.rcts.pt/,info@eb1-porto-n36.rcts.pt,N,EB1,Manoel de Oliveira,Activo,Público,E4,06,PLANTA\PONTE_PLANTA.pdf,00005,1702,06170200005,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvt7b5g8bg30&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23021994&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,36,93,Municipal,0, ,,Ponte,1312700,-8.660191319266133,41.161746356443025
63,64,RPSOU0,36,4100,371,226186593, , ,S,EB1/JI,Manoel de Oliveira,Activo,Público,G3,01,"PLANTA\ANTONIO_AROSO_PLANTA.pdf
",00001,1702,01170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvv9g2g89trn&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23020032&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,226186593,1245628800000,josepaulo,53,137,Municipal,0, ,,António Aroso,1312839,-8.669055842812947,41.168724978135295
64,65,RDOUR0, ,4100,217,226183835, , ,S,EB1/JI,Manoel de Oliveira,Activo,Público,F4,11,PLANTA\VILARINHA_PLANTA.pdf,00008,1702,11170200008,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvtn44g8bgb2&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23021618&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,226183835,1245628800000,josepaulo,39,99,Municipal,0,Bairro da Vilarinha,,Vilarinha,1312157,-8.66020745786323,41.16425978664963
65,66,RENOR0,28,4000,199,225898492, , ,N,EB1,Augusto Gil,Activo,Público,D10,02,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00005,1702,02170200005,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs8smg8gr3g&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033776&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,5,12,Privada (Congregação do Sagrado Coração de Jesus),0, ,,Florinhas,1312258,-8.603410448650768,41.15490763092633
66,67,RPOVO0, ,0,0,225379484, , ,N,EB1,Augusto Gil,Activo,Público,D11,02,PLANTA\FERNAO_MAGALHAES_PLANTA.pdf,00006,1702,02170200006,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs2d9g8h34s&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034093&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,4,9,Municipal,0,Bairro de Fernão de Magalhães,,Fernão de Magalhães,1312293,-8.59855201758957,41.15403603901588
67,68,RDAJS0, ,0,0,225194507, , ,S,JI,Augusto Gil,Activo,Público,C11,02,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00007,1702,02170200007,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs04yg8h5gb&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034144&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Bonfim,1312914,-8.597605738365635,41.15327313132537
68,69,RJREG0,305,4000,293,222084282, , ,S,JI,Augusto Gil,Activo,Público,D9,12,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00002,1702,12170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs76wg8g438&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033696&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Sto Ildefonso,1312464,-8.611377939946365,41.15498985566711
69,70,RRDOR0, ,0,0,222037696, , ,S,EB1/JI,Augusto Gil,Activo,Público,D10,12,PLANTA\FONTINHA_PLANTA.pdf,00003,1702,12170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs8n8g8gh1w&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033776&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,23,53,Municipal,0, ,,Fontinha,1312722,-8.60669925588551,41.155011153762935
70,71,RPINH0, ,0,0,222055294, , ,N,EB1,Rodrigues de Freitas,Activo,Público,C9,04,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00003,1702,04170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrmgrg8g180&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033862&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,55,149,Privada (Montepio Geral),0, ,,Pinheiro,1312205,-8.612736216247077,41.150950915599196
71,72,RCPOR0,590,0,0,225101958, , ,S,EB1/JI,Cerco,Activo,Público,E14,03,PLANTA\CERCO_DO_PORTO_PLANTA.pdf,00011,1702,03170200011,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvt54dg8kf6c&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034327&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,9,23,Municipal,0,Bairro do Cerco do Porto,,Cerco do Porto,1312135,-8.567443655300542,41.16137917416425
72,73,ROURI0, ,0,0,225107644, , ,S,EB1/JI,Cerco,Activo,Público,F13,03,PLANTA\S_ROQUE_DA_LAMEIRA_PLANTA.pdf,00012,1702,03170200012,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvtz5mg8k0w6&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033097&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,12,30,Municipal,0,Bairro de S. Roque da Lameira,,S. Roque da Lameira,1312060,-8.573004763125958,41.166172512951654
